"Issue Type","Epic Link","Parent","Summary","Description","Story Points","Priority","Sprint","Labels","Status"
"Sub-task","","Lock account-creation and menu-customization scope","Confirm Owner creates staff/cashier accounts directly","No self-registration use case exists anywhere","","","Sprint 3","requirements","Done"
"Sub-task","","Lock account-creation and menu-customization scope","Confirm menu customization is boolean cut-only","No quantity adjustment in scope","","","Sprint 3","requirements","Done"
"Task","Requirements","","Lock expiry-halving rule for meat transfer","Remaining shelf life is halved when meat moves from Freezer to thaw-prep","3","Medium","Sprint 3","requirements","Done"
"Sub-task","","Lock expiry-halving rule for meat transfer","Derive halving formula from remaining shelf life","new_expiry = transfer_time + (remaining / 2)","","","Sprint 3","requirements","Done"
"Sub-task","","Lock expiry-halving rule for meat transfer","Confirm vegetables are exempt from this rule","Vegetables are never frozen so nothing to halve","","","Sprint 3","requirements","Done"
"Task","Requirements","","Draft full RBAC permission matrix","Every use case crossed with every actor","5","High","Sprint 3","requirements","Done"
"Sub-task","","Draft full RBAC permission matrix","List every use case in the current numbering","Full inventory as the matrix's row axis","","","Sprint 3","requirements","Done"
"Sub-task","","Draft full RBAC permission matrix","List every actor","Owner, Staff, Cashier, Customer, System as the column axis","","","Sprint 3","requirements","Done"
"Sub-task","","Draft full RBAC permission matrix","Fill matrix cells with allow/deny per actor x use case","Recorded in the UC diagram worksheet","","","Sprint 3","requirements","Done"
"Task","Requirements","","Lock waste-cost calculation method","unit_cost snapshot per stock lot row, unit-agnostic THB result","3","Medium","Sprint 3","requirements","Done"
"Sub-task","","Lock waste-cost calculation method","Define the unit_cost-per-row snapshot approach","Captured once at intake/transfer time, not recalculated later","","","Sprint 3","requirements","Done"
"Sub-task","","Lock waste-cost calculation method","Confirm waste_cost is unit-agnostic THB","No cross-unit conversion needed once unit_cost is snapshotted","","","Sprint 3","requirements","Done"
"Story","Requirements","","Write user stories US-01 to US-14 with Given/When/Then AC","rims_user_stories.md - Customer/Staff/Cashier/Owner/System","5","Medium","Sprint 3","requirements","Done"
"Sub-task","","Write user stories US-01 to US-14 with Given/When/Then AC","Write Customer stories US-01 to US-03","Menu search, customization, grace period","","","Sprint 3","requirements","Done"
"Sub-task","","Write user stories US-01 to US-14 with Given/When/Then AC","Write Staff stories US-04 to US-08","Receive lot, transfer, available servings, return, alerts","","","Sprint 3","requirements","Done"
"Sub-task","","Write user stories US-01 to US-14 with Given/When/Then AC","Write Cashier/Owner/System stories US-09 to US-14","Table sessions through auto-confirm deduction","","","Sprint 3","requirements","Done"
"Task","Requirements","","Draw Owner/Customer/Dashboard/MenuManagement/UserManagement user-flow diagrams","Mermaid flowcharts plus journey map in docs/","3","Low","Sprint 3","requirements","Done"
"Sub-task","","Draw Owner/Customer/Dashboard/MenuManagement/UserManagement user-flow diagrams","Draw Owner setup/notification/weekly-review flow","rims_owner_flow.mmd","","","Sprint 3","requirements","Done"
"Sub-task","","Draw Owner/Customer/Dashboard/MenuManagement/UserManagement user-flow diagrams","Draw Customer order journey and journey map","rims_customer_flow.mmd plus rims_customer_order_journey.mmd","","","Sprint 3","requirements","Done"
"Sub-task","","Draw Owner/Customer/Dashboard/MenuManagement/UserManagement user-flow diagrams","Draw Dashboard, MenuManagement, UserManagement screen flows","Screen-level flows, not just the whole-app flow","","","Sprint 3","requirements","Done"
"Task","Database","","Finalize storage model to 2 locations","Drops the vegetable chiller again; vegetables convert to plates at intake instead of via transfer","5","High","Sprint 4","database","Done"
"Sub-task","","Finalize storage model to 2 locations","Drop the vegetable chiller, convert veg at intake instead","Intake now converts vegetable kg to plates immediately","","","Sprint 4","database","Done"
"Sub-task","","Finalize storage model to 2 locations","Confirm the transfer step is meat-only going forward","Vegetables never touch the transfer step from this point on","","","Sprint 4","database","Done"
"Task","Database","","Build users, ingredients, storage_locations tables","Core reference tables underlying every other table","5","High","Sprint 4","database","Done"
"Sub-task","","Build users, ingredients, storage_locations tables","Build users table","role enum (owner/staff/cashier), created_by self-reference","","","Sprint 4","database","Done"
"Sub-task","","Build users, ingredients, storage_locations tables","Build ingredients table with 5 threshold fields","reorder/thaw-prep/buffer/pack-size/expiry-warning per ingredient","","","Sprint 4","database","Done"
"Sub-task","","Build users, ingredients, storage_locations tables","Build storage_locations table and seed 2 rows","Freezer (kg, meat) and thaw-prep (plate, both)","","","Sprint 4","database","Done"
"Task","Database","","Build lot_headers and stock_lots tables","1 receiving round = 1 lot_headers row, N line items in stock_lots","5","High","Sprint 4","database","Done"
"Sub-task","","Build lot_headers and stock_lots tables","Build lot_headers table","1 row per receiving round","","","Sprint 4","database","Done"
"Sub-task","","Build lot_headers and stock_lots tables","Build stock_lots table with source_lot_id self-reference","Transfer sub-lots point back to their Freezer parent row","","","Sprint 4","database","Done"
"Sub-task","","Build lot_headers and stock_lots tables","Add stock_lots indexes","ingredient+storage, expiry (partial), source_lot_id","","","Sprint 4","database","Done"
"Task","Database","","Build menu_items, menu_item_ingredients, dining_tables, settings tables","Menu/BOM and table/QR-setting tables","5","High","Sprint 4","database","Done"
"Sub-task","","Build menu_items, menu_item_ingredients, dining_tables, settings tables","Build menu_items and menu_item_ingredients (BOM)","removable flag per ingredient line for customization","","","Sprint 4","database","Done"
"Sub-task","","Build menu_items, menu_item_ingredients, dining_tables, settings tables","Build dining_tables with status enum","empty/occupied/near_expiry/expired/pending_cleanup","","","Sprint 4","database","Done"
"Sub-task","","Build menu_items, menu_item_ingredients, dining_tables, settings tables","Build settings key/value table and seed qr_duration_minutes","Default 120 minutes","","","Sprint 4","database","Done"
"Task","Database","","Build table_sessions, orders, order_items, order_item_customizations tables","Full order-flow relational model","5","High","Sprint 5","database","Done"
"Sub-task","","Build table_sessions, orders, order_items, order_item_customizations tables","Build table_sessions table","expires_at derived from settings.qr_duration_minutes","","","Sprint 5","database","Done"
"Sub-task","","Build table_sessions, orders, order_items, order_item_customizations tables","Build orders table with served_at and confirm_at","status enum pending/confirmed/cancelled","","","Sprint 5","database","Done"
"Sub-task","","Build table_sessions, orders, order_items, order_item_customizations tables","Build order_items with quantity_returned tracking","Derived return status, no separate status column","","","Sprint 5","database","Done"
"Sub-task","","Build table_sessions, orders, order_items, order_item_customizations tables","Build order_item_customizations table","Removed-ingredient rows per order item","","","Sprint 5","database","Done"
"Task","Database","","Build stock_movements and system_logs tables","Full audit trail plus generic notification log","3","High","Sprint 5","stock-deduction database","Done"
"Sub-task","","Build stock_movements and system_logs tables","Build stock_movements table","movement_type enum incl. return, order_item_id link","","","Sprint 5","stock-deduction","Done"
"Sub-task","","Build stock_movements and system_logs tables","Build system_logs table","Generic action+jsonb details, backs the notifications feed","","","Sprint 5","notifications","Done"
"Task","Stock Deduction Engine","","Implement deduct_stock_fifo() with true FIFO splitting across lots","Atomic check-then-drain across multiple lots ordered by expiry_date","8","High","Sprint 5","stock-deduction UC-N4 UC-N5","Done"
"Sub-task","","Implement deduct_stock_fifo() with true FIFO splitting across lots","Lock-and-sum pass across lots by expiry_date ASC","FOR UPDATE SKIP LOCKED, sums available quantity first","","","Sprint 5","stock-deduction","Done"
"Sub-task","","Implement deduct_stock_fifo() with true FIFO splitting across lots","Drain-and-split pass across lots","One stock_movements row per lot actually touched","","","Sprint 5","stock-deduction","Done"
"Sub-task","","Implement deduct_stock_fifo() with true FIFO splitting across lots","Guarantee order-level atomicity","All lots update or none do; no partial fulfillment","","","Sprint 5","stock-deduction","Done"
"Task","Stock Deduction Engine","","Implement auto_confirm_order()","Single stock-deduction point after GRACE_PERIOD_SECONDS","5","High","Sprint 5","stock-deduction US-14","Done"
"Sub-task","","Implement auto_confirm_order()","Sweep orders past confirm_at","Selects pending orders whose grace period has elapsed","","","Sprint 5","stock-deduction","Done"
"Sub-task","","Implement auto_confirm_order()","Call deduct_stock_fifo() per order_item and handle failure","Insufficient stock cancels the whole order, first-confirm-wins","","","Sprint 5","stock-deduction","Done"
"Task","Database","","Add indexes for report/queue query patterns","idx_stock_movements_order_item, deduction_created, orders_confirmed_created, waste_records_pending, etc.","3","Medium","Sprint 5","database","Done"
"Sub-task","","Add indexes for report/queue query patterns","Add stock_movements and orders indexes","order_item_id, deduction+created_at, confirmed+created_at, table_session_id","","","Sprint 5","database","Done"
"Sub-task","","Add indexes for report/queue query patterns","Add waste_records and order_items indexes","pending_review + confirmed partial indexes, order_items.order_id","","","Sprint 5","database","Done"
"Task","Stock Deduction Engine","","Implement return_order_item_to_stock() for UC-N12","Partial returns per order_item back to original lot(s)","5","High","Sprint 6","stock-deduction US-07 UC-N12","Done"
"Sub-task","","Implement return_order_item_to_stock() for UC-N12","Guard served_at IS NULL before allowing a return","Cannot return a dish that's already been served","","","Sprint 6","stock-deduction","Done"
"Sub-task","","Implement return_order_item_to_stock() for UC-N12","Net deductions minus returns per lot, walk expiry order","Mirrors however the original deduction split across lots","","","Sprint 6","stock-deduction","Done"
"Sub-task","","Implement return_order_item_to_stock() for UC-N12","Credit quantity_remaining and insert return movement rows","expiry_date untouched, lot re-enters FIFO immediately","","","Sprint 6","stock-deduction","Done"
"Task","Reports & Recommendations","","Implement report functions","get_thaw_prep_recommendation, get_procurement_recommendation, get_weekly_cost_profit_report","5","Medium","Sprint 6","reports US-13 UC-N3 UC-N8","Done"
"Sub-task","","Implement report functions","Implement get_thaw_prep_recommendation()","Daily buffer formula against the weekday-usage view","","","Sprint 6","reports","Done"
"Sub-task","","Implement report functions","Implement get_procurement_recommendation()","Trend-adjusted formula rounded to supplier pack size","","","Sprint 6","reports","Done"
"Sub-task","","Implement report functions","Implement get_weekly_cost_profit_report() and the weekday-usage view","Revenue minus COGS minus waste, plus template narrative","","","Sprint 6","reports","Done"
"Task","Notifications & Alerts","","Implement notification and maintenance functions","mark_not_fresh_lots, expire_table_sessions, flag_waste_candidates, check_freezer_expiry_warnings, threshold trigger","5","Medium","Sprint 6","notifications waste","Done"
"Sub-task","","Implement notification and maintenance functions","Implement mark_not_fresh_lots() and expire_table_sessions()","Scheduled maintenance sweeps","","","Sprint 6","notifications","Done"
"Sub-task","","Implement notification and maintenance functions","Implement flag_waste_candidates() and check_freezer_expiry_warnings()","Near-expiry + no-movement rule, 3-day Freezer warning","","","Sprint 6","waste notifications","Done"
"Sub-task","","Implement notification and maintenance functions","Implement the stock-threshold trigger function","Fires the Owner and staff low-stock alerts on quantity change","","","Sprint 6","notifications","Done"
"Task","User Management","","Add users.is_active soft-disable column","Avoids hard-delete FK conflicts with stock_movements.actor_id etc.","2","Medium","Sprint 6","user-mgmt","Done"
"Sub-task","","Add users.is_active soft-disable column","Add is_active column, default true","Soft-disable instead of deleting a row with history","","","Sprint 6","user-mgmt","Done"
"Sub-task","","Add users.is_active soft-disable column","Note login must check is_active going forward","Carried into Sprint 8's login story","","","Sprint 6","user-mgmt","Done"
"Task","Auth & Session Management","","Set up Internal app routing plus RequireRole guard","react-router-dom v7 nested routes","5","High","Sprint 7","auth","Done"
"Sub-task","","Set up Internal app routing plus RequireRole guard","Configure react-router-dom v7 route tree","Flat routes for /, /login; nested Route wrapping App for role-guarded pages","","","Sprint 7","auth","To Do"
"Sub-task","","Set up Internal app routing plus RequireRole guard","Build RequireRole wrapper component","Checks loading/role state before rendering children, redirects otherwise","","","Sprint 7","auth","To Do"
"Task","Auth & Session Management","","Build AuthContext (mock) and role-based Sidebar","Placeholder auth state, Sidebar from Figma mockup via NavItemsByRole","5","Medium","Sprint 7","auth","Done"
"Sub-task","","Build AuthContext (mock) and role-based Sidebar","Build AuthContext with mock timed role assignment","createContext + useState/useEffect placeholder before real session wiring","","","Sprint 7","auth","To Do"
"Sub-task","","Build AuthContext (mock) and role-based Sidebar","Build Sidebar NavItemsByRole mapping","Renders nav items per role from Figma mockup, role read via useAuth()","","","Sprint 7","auth","To Do"
"Task","Frontend Integration","","Create Owner/Staff/Cashier page stubs (all 19 pages)","Dashboard, MenuManagement, UserManagement, IngredientSettings, StockMovementHistory, NotFreshInventory, Notifications, ProcurementRecommendation, QrSettings, SystemLogs, WasteReview, ReceiveLot, TransferToThawPrep, AvailableServings, OrdersToServe, ThawPrepRecommendation, CheckIn, CheckOut, TableList","8","Medium","Sprint 7","frontend-integration","Done"
"Sub-task","","Create Owner/Staff/Cashier page stubs (all 19 pages)","Create 11 Owner page stubs","Dashboard, MenuManagement, UserManagement, IngredientSettings, StockMovementHistory, NotFreshInventory, Notifications, ProcurementRecommendation, QrSettings, SystemLogs, WasteReview","","","Sprint 7","frontend-integration","To Do"
"Sub-task","","Create Owner/Staff/Cashier page stubs (all 19 pages)","Create 5 Staff page stubs","ReceiveLot, TransferToThawPrep, AvailableServings, OrdersToServe, ThawPrepRecommendation, Notifications","","","Sprint 7","frontend-integration","To Do"
"Sub-task","","Create Owner/Staff/Cashier page stubs (all 19 pages)","Create 3 Cashier page stubs","CheckIn, CheckOut, TableList","","","Sprint 7","frontend-integration","To Do"
"Task","Customer Ordering Flow","","Scaffold Customer app pages","Landing, Menu, OrderBuilder, OrderHistory, GracePeriodCountdown, QrExpiryBanner","8","High","Sprint 7","customer-flow US-01 US-02 US-03","Done"
"Sub-task","","Scaffold Customer app pages","Build Landing.tsx (QR scan entry)","Reads table_session id from URL, shows QrExpiryBanner","","","Sprint 7","customer-flow","To Do"
"Sub-task","","Scaffold Customer app pages","Build Menu.tsx and OrderBuilder.tsx","Autocomplete search, ingredient detail, UC-N9 customization picker","","","Sprint 7","customer-flow US-01 US-02","To Do"
"Sub-task","","Scaffold Customer app pages","Build OrderHistory.tsx and GracePeriodCountdown.tsx","Per-table order list, 60s cancel countdown","","","Sprint 7","customer-flow US-03","To Do"
"Task","Auth & Session Management","","Scaffold Hono app skeleton","apps/api/src/index.ts base setup","2","High","Sprint 7","auth","In Progress"
"Sub-task","","Scaffold Hono app skeleton","Install deps and configure base Hono app","hono, cors middleware, env config loader","","","Sprint 7","auth","To Do"
"Sub-task","","Scaffold Hono app skeleton","Add Supabase client connection","Service-role client for server-side queries","","","Sprint 7","auth","To Do"
"Story","Auth & Session Management","","POST /auth/login issues session cookie","Checks email, password_hash, and is_active","5","Highest","Sprint 8","auth","To Do"
"Sub-task","","POST /auth/login issues session cookie","Validate email/password against users table","Check is_active = true as part of the same query","","","Sprint 8","auth","To Do"
"Sub-task","","POST /auth/login issues session cookie","Hash comparison plus issue session cookie","bcrypt/argon2 compare, set httpOnly cookie","","","Sprint 8","auth","To Do"
"Sub-task","","POST /auth/login issues session cookie","Return role in login response","Frontend AuthContext consumes this to pick Sidebar nav set","","","Sprint 8","auth","To Do"
"Story","Auth & Session Management","","POST /auth/logout plus session/role-guard middleware","Clears cookie; middleware applies to every Internal-app route by role","5","Highest","Sprint 8","auth","To Do"
"Sub-task","","POST /auth/logout plus session/role-guard middleware","Logout clears session cookie","Simple cookie invalidation endpoint","","","Sprint 8","auth","To Do"
"Sub-task","","POST /auth/logout plus session/role-guard middleware","Session-check middleware for all Internal routes","401 if no valid session","","","Sprint 8","auth","To Do"
"Sub-task","","POST /auth/logout plus session/role-guard middleware","Role-guard middleware per route","403 if role does not match route's required role","","","Sprint 8","auth","To Do"
"Story","Stock Intake & Transfer","","POST /stock-lots - receive new lot (US-04)","Atomic multi-line intake, auto-converts vegetables kg to plates","8","High","Sprint 8","stock-intake US-04 UC-N1","To Do"
"Sub-task","","POST /stock-lots - receive new lot (US-04)","Atomic transaction wrapping multi-line intake","1 lot header + N ingredient lines, all-or-nothing","","","Sprint 8","stock-intake UC-N1","To Do"
"Sub-task","","POST /stock-lots - receive new lot (US-04)","Vegetable kg-to-plates auto-conversion at intake","Round down, no fraction carried over, storage_location = thaw-prep","","","Sprint 8","stock-intake UC-N1","To Do"
"Sub-task","","POST /stock-lots - receive new lot (US-04)","Meat stored raw into Freezer, no conversion","Waits for UC-N2 transfer later","","","Sprint 8","stock-intake UC-N1","To Do"
"Story","Stock Intake & Transfer","","POST /stock-lots/:id/transfer - Freezer to thaw-prep (US-05)","Converts kg to plates, halves remaining shelf life","8","High","Sprint 8","stock-intake US-05 UC-N2","To Do"
"Sub-task","","POST /stock-lots/:id/transfer - Freezer to thaw-prep (US-05)","kg-to-plates conversion using default_portion_size","Round down, no fraction carried over","","","Sprint 8","stock-intake UC-N2","To Do"
"Sub-task","","POST /stock-lots/:id/transfer - Freezer to thaw-prep (US-05)","Compute halved expiry_date for new sub-lot","new expiry = transfer time + (remaining shelf life / 2)","","","Sprint 8","stock-intake UC-N2","To Do"
"Sub-task","","POST /stock-lots/:id/transfer - Freezer to thaw-prep (US-05)","Create sub-lot and adjust source lot quantity_remaining","source_lot_id reference for traceability","","","Sprint 8","stock-intake UC-N2","To Do"
"Story","Menu & Ingredient Management","","Menu item plus BOM CRUD endpoints (US-10)","GET/POST/PUT/DELETE menu-items plus ingredient removable flags","8","High","Sprint 8","menu-mgmt US-10","To Do"
"Sub-task","","Menu item plus BOM CRUD endpoints (US-10)","CRUD menu_items (name/price/description)","Standard create/read/update endpoints","","","Sprint 8","menu-mgmt US-10","To Do"
"Sub-task","","Menu item plus BOM CRUD endpoints (US-10)","CRUD menu_item_ingredients (BOM lines)","Add/remove ingredient, quantity_required_plates, removable flag","","","Sprint 8","menu-mgmt US-10","To Do"
"Sub-task","","Menu item plus BOM CRUD endpoints (US-10)","Delete guard for menu_items","Block delete if order_items reference exists (FK), delete BOM rows first","","","Sprint 8","menu-mgmt US-10","To Do"
"Story","User Management","","Staff/cashier account CRUD endpoints","Create, edit, reset-password, is_active toggle","5","High","Sprint 8","user-mgmt","To Do"
"Sub-task","","Staff/cashier account CRUD endpoints","Create account endpoint","name/email/password hash/role (staff or cashier only)","","","Sprint 8","user-mgmt","To Do"
"Sub-task","","Staff/cashier account CRUD endpoints","Edit account endpoint","name/email/role/is_active toggle","","","Sprint 8","user-mgmt","To Do"
"Sub-task","","Staff/cashier account CRUD endpoints","Reset password endpoint","Owner sets a new password for the account","","","Sprint 8","user-mgmt","To Do"
"Story","Menu & Ingredient Management","","Ingredient threshold settings endpoint (US-11)","5 fields per ingredient incl. meat-only reorder_threshold_kg","3","Medium","Sprint 8","menu-mgmt US-11","To Do"
"Sub-task","","Ingredient threshold settings endpoint (US-11)","PUT endpoint for the 5 threshold fields","reorder_threshold_kg, thaw_prep_threshold_plates, buffer_percentage, supplier_pack_size_kg, freezer_expiry_warning_days","","","Sprint 8","menu-mgmt US-11","To Do"
"Sub-task","","Ingredient threshold settings endpoint (US-11)","Validate meat-only fields rejected for vegetables","reorder_threshold_kg has no meaning without a Freezer row","","","Sprint 8","menu-mgmt US-11","To Do"
"Story","QR & Table Session","","Table session open/close endpoints (US-09) plus QR duration setting","POST table-sessions (check-in), close (check-out), PUT settings/qr_duration_minutes","5","High","Sprint 9","qr-session US-09","To Do"
"Sub-task","","Table session open/close endpoints (US-09) plus QR duration setting","Check-in endpoint creates table_session","expires_at = now + qr_duration_minutes","","","Sprint 9","qr-session US-09","To Do"
"Sub-task","","Table session open/close endpoints (US-09) plus QR duration setting","Check-out endpoint closes session and cancels pending orders","ended_at set, dining_tables.status updated","","","Sprint 9","qr-session US-09","To Do"
"Sub-task","","Table session open/close endpoints (US-09) plus QR duration setting","QR code payload generation","Encodes table_session id, used by customer app landing scan","","","Sprint 9","qr-session US-09","To Do"
"Story","Customer Ordering Flow","","Menu autocomplete plus available-servings endpoint (US-01/US-06)","GET menu-items?search= and per-item available servings","5","High","Sprint 9","customer-flow US-01 US-06","To Do"
"Sub-task","","Menu autocomplete plus available-servings endpoint (US-01/US-06)","GET /menu-items?search= prefix match","Autocomplete, no embeddings/pgvector","","","Sprint 9","customer-flow US-01","To Do"
"Sub-task","","Menu autocomplete plus available-servings endpoint (US-01/US-06)","GET available-servings = min across BOM ingredients","Reads thaw-prep quantity_remaining only, not Freezer","","","Sprint 9","customer-flow US-06","To Do"
"Story","Customer Ordering Flow","","Removable-ingredient customization endpoint (US-02)","Per menu item, only ingredients flagged removable","3","Medium","Sprint 9","customer-flow US-02","To Do"
"Sub-task","","Removable-ingredient customization endpoint (US-02)","GET removable ingredients per menu item","Only rows where menu_item_ingredients.removable = true","","","Sprint 9","customer-flow US-02","To Do"
"Sub-task","","Removable-ingredient customization endpoint (US-02)","Validate customization payload on order create","Reject any ingredient_id not flagged removable for that menu item","","","Sprint 9","customer-flow US-02","To Do"
"Story","Stock Deduction Engine","","Order create/cancel plus auto-confirm sweep (US-03/US-14)","POST orders, POST orders/:id/cancel, cron calling auto_confirm_order()","8","Highest","Sprint 9","stock-deduction US-03 US-14","To Do"
"Sub-task","","Order create/cancel plus auto-confirm sweep (US-03/US-14)","POST /orders creates pending order + items + customizations","confirm_at = now + GRACE_PERIOD_SECONDS","","","Sprint 9","stock-deduction US-03","To Do"
"Sub-task","","Order create/cancel plus auto-confirm sweep (US-03/US-14)","POST /orders/:id/cancel","Only allowed while status = pending","","","Sprint 9","stock-deduction US-03","To Do"
"Sub-task","","Order create/cancel plus auto-confirm sweep (US-03/US-14)","pg_cron sweep calling auto_confirm_order()","Runs against all orders past confirm_at","","","Sprint 9","stock-deduction US-14","To Do"
"Sub-task","","Order create/cancel plus auto-confirm sweep (US-03/US-14)","Handle insufficient-stock cancellation path","auto_confirm_order() returns false -> mark cancelled + notify table","","","Sprint 9","stock-deduction US-14","To Do"
"Story","Stock Deduction Engine","","Return order-item endpoint (US-07) plus mark-served endpoint","Calls return_order_item_to_stock(); PUT orders/:id/serve","5","High","Sprint 10","stock-deduction US-07 UC-N12","To Do"
"Sub-task","","Return order-item endpoint (US-07) plus mark-served endpoint","POST /order-items/:id/return","Guard served_at IS NULL, calls return_order_item_to_stock()","","","Sprint 10","stock-deduction US-07 UC-N12","To Do"
"Sub-task","","Return order-item endpoint (US-07) plus mark-served endpoint","PUT /orders/:id/serve","Sets served_at, guard against double-serve","","","Sprint 10","stock-deduction","To Do"
"Story","Notifications & Alerts","","Notifications feed endpoint (US-08)","Reads system_logs for UC-N7/UC-N10/UC-N11 entries","5","High","Sprint 10","notifications US-08","To Do"
"Sub-task","","Notifications feed endpoint (US-08)","GET /notifications reads system_logs","Filters UC-N7/UC-N10/UC-N11 action rows by role","","","Sprint 10","notifications US-08","To Do"
"Sub-task","","Notifications feed endpoint (US-08)","Role-based filtering of notification results","Owner sees UC-N7, staff sees UC-N10/UC-N11","","","Sprint 10","notifications US-08","To Do"
"Story","Waste Management","","Waste review queue plus confirm/reject endpoints (US-12)","GET pending_review, POST confirm/reject","5","High","Sprint 10","waste US-12","To Do"
"Sub-task","","Waste review queue plus confirm/reject endpoints (US-12)","GET /waste-records?status=pending_review","Feeds Owner's WasteReview page","","","Sprint 10","waste US-12","To Do"
"Sub-task","","Waste review queue plus confirm/reject endpoints (US-12)","POST /waste-records/:id/confirm","Deducts quantity_remaining, logs waste_cost","","","Sprint 10","waste US-12","To Do"
